 UID        , Inf , Name                               , DoB                       , Nat , Division                                      , Club                         , Based                               , Preferred Foot , Right Foot    , Left Foot     , Position                        , Height , Weight , Age , Transfer Value  , Wage           , AT Apps , AT Gls , Team , Caps , Yth Apps , Style        , Rc Injury                  , Best Role               , Best Duty , Best Pos , Acc , Aer , Agg , Agi , Ant , Bal , Bra , Cmd , Com , Cmp , Cnt , Cor , Cro , Dec , Det , Dri , Ecc , Fin , Fir , Fla , Fre , Han , Hea , Jum , Kic , Ldr , Lon , L Th , Mar , Nat .1, OtB , 1v1 , Pac , Pas , Pen , Pos , Pun , Ref , TRO , Sta , Str , Tck , Tea , Tec , Thr , Vis , Wor 
53095137,     , Martin 脴degaard              , 17/12/1998 (23 years old) , NOR , English Premier Division                          , Arsenal                , England (Premier Division)            , Left           , Reasonable    , Very Strong   , M/AM (C)                         , 178 cm , 68 kg  ,23, 鈧?74M - 鈧?98M   ," 鈧?78,000 p/m   ",239,32, Main ,43,18, Intelligent  , -                          , Advanced Playmaker      , Support   , AM (C)   ,14,2,7,16,18,15,10,1,4,15,12,14,14,16,15,16,3,12,17,16,15,2,9,9,2,8,13,7,10,13,16,1,13,16,10,9,3,1,3,15,11,8,17,17,1,17,14
19183676,     , Fabinho                      , 23/10/1993 (28 years old) , BRA , English Premier Division                          , Liverpool              , England (Premier Division)            , Right Only     , Very Strong   , Weak          ," D (RC), DM, M (C)                ", 188 cm , 78 kg  ,28, 鈧?16M - 鈧?64M   ," 鈧?05,000 p/m   ",313,33, Main ,27,13, Technical    , -                          , Defensive Midfielder    , Support   , DM       ,14,1,16,14,16,14,15,3,2,15,15,6,11,16,15,13,2,9,16,11,7,1,14,14,1,10,12,8,15,16,12,3,14,15,15,16,2,1,3,15,14,16,17,15,3,13,15
85078058,     , Riyad Mahrez                 , 21/2/1991 (31 years old)  , ALG , English Premier Division                          , Man City               , England (Premier Division)            , Left           , Reasonable    , Very Strong   ," M (R), AM (RL)                   ", 179 cm , 67 kg  ,31, 鈧?2M - 鈧?5M     ," 鈧?,005,000 p/m ",360,87, Main ,75, -        , Technical    , -                          , Inside Forward          , Support   , AM (R)   ,15,2,6,17,13,15,7,3,3,16,13,14,16,13,13,17,2,16,20,17,14,3,8,9,1,5,13,4,5,14,15,2,14,16,13,5,1,2,3,14,8,8,13,17,3,17,13
19061518,     , Casemiro                     , 23/2/1992 (30 years old)  , BRA , English Premier Division                          , Man UFC                , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," DM, M (C)                        ", 185 cm , 84 kg  ,30, 鈧?10M - 鈧?65M   ," 鈧?,508,000 p/m ",325,34, Main ,63,15, Leader       , -                          , Ball Winning Midfielder , Defend    , DM       ,11,2,18,12,14,15,16,2,2,15,14,10,11,15,17,12,1,11,14,12,10,3,13,13,2,15,14,10,14,15,12,2,12,14,11,18,1,2,1,17,17,15,17,14,3,12,18
19068857,     , Roberto Firmino              , 2/10/1991 (30 years old)  , BRA , English Premier Division                          , Liverpool              , England (Premier Division)            , Right          , Very Strong   , Weak          ," AM (RLC), ST (C)                 ", 181 cm , 76 kg  ,30, 鈧?8M - 鈧?14M    ," 鈧?05,000 p/m   ",409,117, Main ,55, -        , Intelligent  , -                          , Deep Lying Forward      , Support   , ST (C)   ,13,2,13,15,15,17,11,1,2,17,13,8,12,13,13,14,1,11,17,16,8,3,12,10,2,8,10,7,13,17,15,1,13,13,12,13,1,1,2,16,14,12,18,18,1,16,16
28067800,     , Jack Grealish                , 10/9/1995 (26 years old)  , ENG , English Premier Division                          , Man City               , England (Premier Division)            , Either         , Very Strong   , Strong        ," M (RL), AM (RLC)                 ", 175 cm , 82 kg  ,26, 鈧?6M - 鈧?28M    ," 鈧?,357,000 p/m ",248,37,      ,23,7, Technical    , Shin splints               , Inverted Winger         , Support   , AM (L)   ,15,1,11,15,13,14,14,2,1,14,11,13,16,13,14,17,1,14,15,16,11,3,11,7,4,12,13,3,6,15,13,2,15,14,12,11,3,3,4,14,14,9,14,16,2,16,15
28060397,     , John Stones                  , 28/5/1994 (28 years old)  , ENG , English Premier Division                          , Man City               , England (Premier Division)            , Right          , Very Strong   , Fairly Strong , D (C)                            , 188 cm , 72 kg  ,28, 鈧?7M - 鈧?2M     ," 鈧?,005,000 p/m ",222,6, Main ,58,12, Technical    , Thigh strain               , Ball Playing Defender   , Defend    , D (C)    ,14,2,13,13,15,12,16,2,2,17,15,5,8,14,13,13,1,8,14,12,5,3,14,16,3,13,5,8,13,16,14,1,15,16,12,16,3,1,1,16,15,16,16,15,3,14,17
67030171,     , David De Gea                 , 7/11/1990 (31 years old)  , ESP , English Premier Division                          , Man UFC                , England (Premier Division)            , Right          , Very Strong   , Reasonable    , GK                               , 192 cm , 76 kg  ,31, 鈧?3M - 鈧?8M     ," 鈧?,885,000 p/m ",474, -      , Main ,45,27, Shot Stopper , -                          , Goalkeeper              , Defend    , GK       ,13,16,5,17,14,12,11,8,10,10,14,4,3,13,16,3,6,2,13,5,6,16,1,15,14,13,1,3,1,17,10,14,13,5,2,15,10,19,3,12,13,3,9,8,8,5,12
28009441,     , Kyle Walker                  , 28/5/1990 (32 years old)  , ENG , English Premier Division                          , Man City               , England (Premier Division)            , Right          , Very Strong   , Reasonable    , D/WB (R)                         , 178 cm , 83 kg  ,32, 鈧?1M - 鈧?5M     ," 鈧?80,000 p/m   ",393,8, Main ,68,7, Physical     , -                          , Wing-Back               , Defend    , D (R)    ,19,3,13,13,16,13,13,1,1,13,13,8,11,13,16,14,1,7,13,10,11,2,13,11,3,11,8,12,14,19,13,1,18,13,6,14,1,3,3,17,13,13,15,13,3,12,16
43017197,     , Pierre-Emerick Aubameyang    , 18/6/1989 (33 years old)  , GAB , English Premier Division                          , Chelsea                , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," AM (RL), ST (C)                  ", 187 cm , 80 kg  ,33, 鈧?1.5M - 鈧?4M   ," 鈧?54,000 p/m   ",444,226, Main ,73, -        , Intelligent  , -                          , Inside Forward          , Attack    , AM (L)   ,15,3,12,14,15,15,12,1,2,14,12,5,10,13,10,14,2,15,14,17,11,3,12,14,1,13,14,2,5,13,17,2,15,12,15,8,3,4,2,14,12,6,12,14,1,13,11
28106491,     , Declan Rice                  , 14/1/1999 (23 years old)  , ENG , English Premier Division                          , West Ham               , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," D (C), DM, M (C)                 ", 185 cm , 80 kg  ,23, 鈧?6M - 鈧?3M     ," 鈧?02,000 p/m   ",167,6, Main ,32, -        , Intelligent  , -                          , Defensive Midfielder    , Support   , DM       ,13,4,13,13,15,13,14,1,1,17,15,7,11,15,17,14,3,9,14,10,8,2,12,12,1,16,9,10,14,18,16,1,13,15,11,17,3,2,1,17,13,17,16,14,1,14,17
27010680,     , Christian Eriksen            , 14/2/1992 (30 years old)  , DEN , English Premier Division                          , Man UFC                , England (Premier Division)            , Either         , Very Strong   , Strong        ," DM, M/AM (C)                     ", 182 cm , 76 kg  ,30, 鈧?40M - 鈧?92M   ," 鈧?54,000 p/m   ",393,81, Main ,115,3, Intelligent  , -                          , Central Midfielder      , Attack    , M (C)    ,12,3,7,13,15,12,8,1,3,15,15,16,16,17,14,13,4,14,18,14,17,2,5,8,3,8,15,3,5,17,15,2,11,17,16,12,1,2,1,15,7,6,17,17,1,17,16
24016925,     , Mateo Kova膷i膰                , 6/5/1994 (28 years old)   , CRO , English Premier Division                          , Chelsea                , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," DM, M/AM (C)                     ", 178 cm , 78 kg  ,28, 鈧?08M - 鈧?27M   ," 鈧?54,000 p/m   ",311,15, Main ,81,7, Technical    , Achilles tendonitis        , Advanced Playmaker      , Support   , M (C)    ,15,1,14,15,16,16,14,2,2,18,11,10,10,16,17,17,1,8,17,16,12,1,10,9,1,11,10,7,12,12,13,1,14,15,12,12,2,2,2,15,15,15,15,17,1,15,17
19046041,     , Philippe Coutinho            , 12/6/1992 (30 years old)  , BRA , English Premier Division                          , Aston Villa            , England (Premier Division)            , Either         , Very Strong   , Strong        , M/AM (LC)                        , 172 cm , 71 kg  ,30, 鈧?9M - 鈧?0M     ," 鈧?28,000 p/m   ",328,80, Main ,63,7, Creative     , -                          , Inverted Winger         , Support   , M (L)    ,14,3,10,15,13,12,9,3,3,14,11,13,14,13,12,18,2,12,17,18,16,3,9,7,3,10,16,4,5,10,16,2,11,15,13,7,3,2,3,13,10,6,11,19,2,17,12
91151081,     , Kai Havertz                  , 11/6/1999 (23 years old)  , GER , English Premier Division                          , Chelsea                , England (Premier Division)            , Left           , Reasonable    , Very Strong   ," AM (C), ST (C)                   ", 186 cm , 77 kg  ,23, 鈧?06M - 鈧?33M   ," 鈧?54,000 p/m   ",174,48,      ,28, -        , Intelligent  , -                          , Advanced Playmaker      , Support   , AM (C)   ,13,1,11,13,15,13,11,1,3,17,10,11,12,16,10,14,1,16,18,15,11,4,13,14,2,7,11,8,7,16,17,1,17,14,12,10,2,1,1,15,13,10,15,17,3,17,13
19259600, nEU , Arthur                       , 12/8/1996 (25 years old)  , BRA , English Premier Division                          , Liverpool              , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," DM, M (C)                        ", 172 cm , 67 kg  ,25, 鈧?.6M - 鈧?1.5M  ," 鈧?33,000 p/m   ",125,6,      ,22, -        , Technical    , -                          , Deep Lying Playmaker    , Defend    , M (C)    ,13,3,10,17,15,17,11,3,3,14,15,12,12,14,13,15,3,8,16,14,12,2,7,8,3,9,10,5,8,9,8,3,12,18,11,13,2,3,1,13,11,11,14,16,1,12,12
28005568, Wnt , Jordan Henderson             , 17/6/1990 (32 years old)  , ENG , English Premier Division                          , Liverpool              , England (Premier Division)            , Right          , Very Strong   , Weak          ," DM, M (C)                        ", 183 cm , 80 kg  ,32, Not for Sale    ," 鈧?55,000 p/m   ",406,34, Main ,69,27, Leader       , -                          , Ball Winning Midfielder , Defend    , DM       ,13,1,14,13,15,14,16,1,3,15,15,11,13,14,19,11,1,8,15,11,10,2,10,13,1,19,9,9,15,15,14,2,14,13,10,16,3,2,4,18,15,14,18,14,2,14,18
43036641,     , Jorginho                     , 20/12/1991 (30 years old) , ITA , English Premier Division                          , Chelsea                , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," DM, M (C)                        ", 180 cm , 65 kg  ,30, 鈧?04M - 鈧?23M   ," 鈧?53,000 p/m   ",377,34, Main ,44, -        , Intelligent  , -                          , Deep Lying Playmaker    , Support   , DM       ,11,3,10,14,16,14,14,2,2,19,15,11,12,18,15,12,3,8,18,13,9,2,7,9,2,15,9,2,10,14,15,3,12,18,18,14,3,2,3,17,9,14,17,16,3,18,17
76049803,     , Luis D铆az                    , 13/1/1997 (25 years old)  , COL , English Premier Division                          , Liverpool              , England (Premier Division)            , Right          , Very Strong   , Fairly Strong , AM (L)                           , 180 cm , 70 kg  ,25, 鈧?29M - 鈧?52M   ," 鈧?52,000 p/m   ",191,48, Main ,37,5, Technical    , -                          , Inverted Winger         , Attack    , AM (L)   ,17,1,13,17,13,14,13,4,3,14,13,9,12,13,15,18,2,15,18,19,10,1,13,10,3,4,13,4,7,15,15,2,16,14,5,9,1,3,1,13,10,8,13,18,4,14,14
28100266,     , Marcus Rashford              , 31/10/1997 (24 years old) , ENG , English Premier Division                          , Man UFC                , England (Premier Division)            , Right          , Very Strong   , Weak          ," AM (L), ST (C)                   ", 185 cm , 70 kg  ,24, 鈧?7M - 鈧?30M    ," 鈧?,131,000 p/m ",204,59, Main ,46,1, Physical     , -                          , Inverted Winger         , Attack    , AM (L)   ,18,1,14,16,12,15,12,1,2,12,12,6,13,11,16,15,3,14,14,19,13,1,6,8,2,10,12,3,2,17,15,3,17,14,16,4,3,2,3,14,13,3,13,15,2,13,10
28122642,     , Bukayo Saka                  , 5/9/2001 (20 years old)   , ENG , English Premier Division                          , Arsenal                , England (Premier Division)            , Left           , Reasonable    , Very Strong   , AM (RL)                          , 178 cm , 67 kg  ,20, Not for Sale    ," 鈧?51,000 p/m   ",97,17,      ,18,1, Intelligent  , -                          , Inverted Winger         , Support   , AM (R)   ,17,4,11,16,16,16,11,1,3,14,14,12,14,16,16,15,3,11,14,16,8,2,7,9,4,6,12,7,9,15,16,1,15,13,12,9,1,2,3,15,9,10,15,15,3,15,15
28104124,     , Trent Alexander-Arnold       , 7/10/1998 (23 years old)  , ENG , English Premier Division                          , Liverpool              , England (Premier Division)            , Right          , Very Strong   , Fairly Strong ," D/WB (R), M (C)                  ", 180 cm , 70 kg  ,23, Not for Sale    ," 鈧?04,000 p/m   ",129,8,      ,17,3, Technical    , -                          , Complete Wing-Back      , Support   , WB (R)   ,14,1,12,14,13,14,11,3,2,15,12,15,17,15,15,12,1,10,17,14,14,2,11,11,1,12,12,14,11,15,15,1,14,16,12,11,1,2,1,14,13,13,16,17,3,16,14
85051083,     , Kalidou Koulibaly            , 20/6/1991 (31 years old)  , SEN , English Premier Division                          , Chelsea                , England (Premier Division)            , Right          , Very Strong   , Reasonable    , D (C)                            , 187 cm , 89 kg  ,31, Not for Sale    ," 鈧?,508,000 p/m ",341,17, Main ,61, -        , Physical     , -                          , Central Defender        , Defend    , D (C)    ,12,3,15,14,14,15,18,2,3,10,8,4,6,13,11,10,1,10,12,8,4,2,16,15,4,13,6,6,18,13,10,3,17,13,6,16,3,3,2,15,19,17,16,11,3,10,16
28108035,     , Reece James                  , 8/12/1999 (22 years old)  , ENG , English Premier Division                          , Chelsea                , England (Premier Division)            , Right          , Very Strong   , Reasonable    ," D (RC), WB (R), DM               ", 175 cm , 90 kg  ,22, 鈧?54M - 鈧?79M   ," 鈧?,257,000 p/m ",127,9, Main ,13,2, Physical     , -                          , Full-Back               , Attack    , D (R)    ,15,4,16,12,14,19,18,1,1,16,14,13,18,17,17,11,2,12,14,12,14,2,14,10,1,13,11,9,13,15,12,3,14,13,7,13,2,1,4,15,19,14,15,15,3,11,16
